neighborhood,white,hispanic,black,asian,other,income
West Mount Airy,49.7,2.3,40.4,2.1,5.5,"$50,000 to $74,999"
West Oak Lane,1.1,0.7,95.1,0.8,2.3,"$14,185 to $49,999"
West Park ,51.1,11,12.4,12.8,12.7,"$14,185 to $49,999"
West Parkside ,15.9,0,83.9,0.2,0,"$14,185 to $49,999"
West Passyunk,15.6,4.6,63.5,14,2.3,"$14,185 to $49,999"
West Poplar,21.5,5.9,60.1,7.4,5.1,"$14,185 to $49,999"
West Powelton,15.8,1.8,68,12,2.4,"$14,185 to $49,999"
West Torresdale,82.8,3.4,10.1,3,0.7,"$50,000 to $74,999"
Whitman,64.1,7.1,4.8,21.4,2.6,"$14,185 to $49,999"
Winchester Park,95.5,0,1.6,1.5,1.4,"$50,000 to $74,999"
Wissahickon,82.6,4.6,6,3.9,2.9,"$50,000 to $74,999"
Wissahickon Hills ,92.6,0,0.9,3.6,2.9,"$50,000 to $74,999"
Wissahickon Park,100,0,0,0,0,"$50,000 to $74,999"
Wissinoming,40.4,26.4,29.7,2.6,0.9,"$14,185 to $49,999"
Wister,12.1,0.5,84.5,0.1,2.8,"$14,185 to $49,999"
Woodland Terrace,46.5,5.6,19.8,23.8,4.3,"$14,185 to $49,999"
Wynnefield,6.1,1.4,87.3,2.3,2.9,"$14,185 to $49,999"
Wynnefield Heights,29.1,2.5,50.7,11.7,6,"$14,185 to $49,999"
Yorktown,28.9,7.9,51.6,8,3.6,"$14,185 to $49,999"
