school_name,address,lat,lng
J H Moore School,"6900 Summerdale Ave, Philadelphia, PA 19111",40.066882,-75.119558
Robert Morris School,"2600 W Thompson St, Philadelphia, PA 19121",39.985243,-75.177484
Andrew J. Morrison School,"5100 N 3rd St, Philadelphia, PA 19120",40.031873,-75.128032
Thomas G. Morton School,"2501 S 63rd St, Philadelphia, PA 19142",39.927635,-75.227635
Munoz-Marin Luis Elementary School,"3300 N 3rd St, Philadelphia, PA 19140",40.00192,-75.135797
George W Nebinger School,"601 Carpenter St, Philadelphia, PA 19147",39.936034,-75.152139
Northeast Community Propel Academy,"7500 Rowland Ave, Philadelphia, PA 19136",40.04989,-75.037194
Olney Elementary School,"5301 N Water St, Philadelphia, PA 19120",40.034642,-75.127275
Overbrook Elementary School,"2032 N 62nd St, Philadelphia, PA 19151",39.976646,-75.243709
John M. Patterson Elementary School,"7000 Buist Ave, Philadelphia, PA 19142",39.923478,-75.231919
T M Peirce School,"2300 W Cambria St, Philadelphia, PA 19132",40.000997,-75.166893
Penn Alexander School,"4209 Spruce St, Philadelphia, PA 19104",39.950295,-75.207772
Pennell School,"1800 W Nedro Ave, Philadelphia, PA 19141",40.031691,-75.147313
Pennypacker School,"1858 Washington Ln, Philadelphia, PA 19138",40.057104,-75.159172
Penrose Elementary School,"2515 S 78th St, Philadelphia, PA 19153",39.881937,-75.230936
Robert Pollock Elementary School,"2875 Welsh Rd, Philadelphia, PA 19152",40.069032,-75.029294
Potter-Thomas Elementary School,"3001 N 6th St, Philadelphia, PA 19133",39.994369,-75.139513
Samuel Powel School,"3610 Warren St, Philadelphia, PA 19104",39.960914,-75.198487
Rhawnhurst School,"7809 Castor Ave, Philadelphia, PA 19152",40.056032,-75.073345
James Rhoads School,"4901 Parrish St, Philadelphia, PA 19139",39.964018,-75.220361
E W Rhodes Elementary School,"2900 W Clearfield St, Philadelphia, PA 19132",40.007173,-75.183507
Richmond Elementary School,"2900 Belgrade St, Philadelphia, PA 19134",39.989564,-75.115947
Roosevelt Elementary School,"430 Washington Ln, Philadelphia, PA 19144",40.04157,-75.184113
William Rowen School,"6841 N 19th St, Philadelphia, PA 19126",40.066012,-75.154481
George W. Sharswood,"2300 S 2nd St, Philadelphia, PA 19148",39.921015,-75.147992
Shawmont School,"535 Shawmont Ave, Philadelphia, PA 19128",40.045206,-75.227166
Isaac A Sheppard School,"120 W Cambria St, Philadelphia, PA 19133",39.991442,-75.134279
Gloria Casarez Elementary School,"800 E Ontario St, Philadelphia, PA 19134",39.996832,-75.115999
S. Solis-Cohen Elementary School,"7001 Horrocks St, Philadelphia, PA 19149",40.029563,-75.067925
Southwark School,"1835 S 9th St, Philadelphia, PA 19148",39.926854,-75.160482
Spring Garden School,"1146 Melon St, Philadelphia, PA 19123",39.967776,-75.150439
Gilbert Spruance Elementary School,"6401 Horrocks St, Philadelphia, PA 19149",40.031702,-75.068262
Edwin M. Stanton School,"901 S 17th St, Philadelphia, PA 19146",39.938593,-75.166075
Allen M. Stearne School,"1655 Unity St, Philadelphia, PA 19124",40.014758,-75.093916
Edward T. Steel School,"4301 Wayne Ave, Philadelphia, PA 19140",40.015964,-75.151168
James J. Sullivan Elementary School,"5300 Ditman St, Philadelphia, PA 19124",40.024416,-75.084151
John H Taggart School,"400 W Porter St, Philadelphia, PA 19148",39.932577,-75.153846
Bayard Taylor School,"3698 N Randolph St, Philadelphia, PA 19140",40.009019,-75.148453
Thomas K. Finletter Academics Plus School,"6101 N Front St, Philadelphia, PA 19120",40.046628,-75.099999
Vare-Washington Elementary School,"1198 S 5th St, Philadelphia, PA 19147",39.935941,-75.154165
Laura Wheeler Waring Public School,"1801 Green St, Philadelphia, PA 19130",39.964005,-75.166788
Martha Washington Academics Plus School,"766 N 44th St, Philadelphia, PA 19104",39.964811,-75.213893
John H. Webster School,"3400 Frankford Ave, Philadelphia, PA 19134",39.996024,-75.110911
John Welsh Public School,"2331 N 4th St, Philadelphia, PA 19133",39.992788,-75.140734
Widener Memorial School,"1450 W Olney Ave, Philadelphia, PA 19141",40.039408,-75.154025
Frances E. Willard Elementary School,"1930 E Elkhart St, Philadelphia, PA 19134",39.99193,-75.105454
Richard R. Wright Elementary School,"2201 N 28th St, Philadelphia, PA 19132",39.997129,-75.181497
William H. Ziegler Elementary School,"5935 Saul St, Philadelphia, PA 19149",40.038562,-75.055356
Girard Academic Music Program,"2136 W Ritner St, Philadelphia, PA 19145",39.918408,-75.178938
AMY at James Martin School,"1241 E Berks St, Philadelphia, PA 19125",39.97859,-75.122445
AMY Northwest Middle School,"6000 Ridge Ave, Philadelphia, PA 19128",40.030179,-75.223781
C.C.A. Baldi Middle School,"8801 Verree Rd, Philadelphia, PA 19115",40.078811,-75.049833
Castor Gardens Middle School,"1800 Cottman Ave, Philadelphia, PA 19111",40.040493,-75.059299
Roberto Clemente Middle School,"122 W Erie Ave, Philadelphia, PA 19140",40.014671,-75.123762
Conwell Middle School,"1849 E Clearfield St, Philadelphia, PA 19134",39.986436,-75.113903
Crossroads Accelerated Academy,"4300 Westminster Ave #2, Philadelphia, PA 19104",39.960547,-75.198834
Feltonville School of Arts and Sciences,"210 E Courtland St, Philadelphia, PA 19120",40.021433,-75.114627
Harding Middle School,"2000 Wakeling St, Philadelphia, PA 19124",40.02739,-75.070217
Hill Freedman World Academy at Leeds Campus,"1100 E Mt Pleasant Ave, Philadelphia, PA 19150",40.041697,-75.152361
Austin Meehan Middle School,"3001 Ryan Ave, Philadelphia, PA 19152",40.069017,-75.049407
Middle Years Alternative School,"4725 Fairmount Ave, Philadelphia, PA 19139",39.962788,-75.215917
Tilden Middle School,"6601 Elmwood Ave, Philadelphia, PA 19142",39.926416,-75.237094
Wagner Middle School,"1701 W Chelten Ave, Philadelphia, PA 19126",40.031512,-75.165654
Grover Washington Middle School,"201 E Olney Ave, Philadelphia, PA 19120",40.032026,-75.123526
Bartram High School,"2401 S 67th St, Philadelphia, PA 19142",39.926264,-75.229214
Thomas Alva Edison High School,"151 W Luzerne St, Philadelphia, PA 19140",40.012848,-75.13171
Samuel Fels High School,"5500 Langdon St, Philadelphia, PA 19124",40.024018,-75.097066
Frankford High School,"5000 Oxford Ave, Philadelphia, PA 19124",40.026912,-75.11178
Benjamin Franklin High School,"550 N Broad St, Philadelphia, PA 19130",39.957128,-75.162506
Furness High School,"1900 S 3rd St, Philadelphia, PA 19148",39.926004,-75.151032
Kensington High School,"2051 E Cumberland St, Philadelphia, PA 19125",39.982802,-75.119304
Martin Luther King High School,"6100 Stenton Ave, Philadelphia, PA 19138",40.04218,-75.178785
Lincoln High School,"3201 Ryan Ave, Philadelphia, PA 19136",40.04247,-75.025532
Northeast High School,"1601 Cottman Ave, Philadelphia, PA 19111",40.039469,-75.068921
Overbrook High School,"5898 Lancaster Ave, Philadelphia, PA 19131",39.970499,-75.240608
Penn Treaty School,"600 E Thompson St, Philadelphia, PA 19125",39.972152,-75.126214
Roxborough High School,"6498 Ridge Ave, Philadelphia, PA 19128",40.040617,-75.227181
Sayre High School,"5800 Walnut St, Philadelphia, PA 19139",39.959506,-75.235165
South Philadelphia High School,"2101 S Broad St, Philadelphia, PA 19148",39.921471,-75.169698
Strawberry Mansion High School,"3133 Ridge Ave, Philadelphia, PA 19132",39.986945,-75.184924
George Washington High School,"10175 Bustleton Ave, Philadelphia, PA 19116",40.113264,-75.013531
West Philadelphia High School,"4901 Chestnut St, Philadelphia, PA 19139",39.953968,-75.213064
Academy At Palumbo,"1100 Catharine St, Philadelphia, PA 19147",39.942729,-75.161194
